gene_name	gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
PPP3CC	ENSG00000120910.16	914.2288	0.733126	0.18690163	0.000001441433	0.0001826948
PERP	ENSG00000112378.12	514.1585	-2.010682	0.50961051	0.000001537278	0.0001936095
RETREG3	ENSG00000141699.12	1902.247	0.5649311	0.13387442	0.000001589263	0.000196427
COL8A1	ENSG00000144810.17	6477.582	-1.908125	0.47787764	0.000001581825	0.000196427
ANKRD22	ENSG00000152766.7	357.6642	-2.364653	0.6483295	0.00000158163	0.000196427
POGLUT2	ENSG00000134901.15	247.6969	-0.7764669	0.20178942	0.000001623142	0.000199376
PBX3	ENSG00000167081.19	808.5117	0.5740561	0.13691064	0.000001634633	0.0001995556
APOL4	ENSG00000100336.19	107.7591	-2.440164	0.69083242	0.000001727836	0.0002096476
PIF1	ENSG00000140451.14	21.69554	-1.698625	0.42101469	0.000001748013	0.0002108104
CPLANE2	ENSG00000132881.13	53.79961	-1.270638	0.32174814	0.000001763066	0.0002113449
GRB14	ENSG00000115290.12	1056.254	1.658873	0.41265963	0.000001876018	0.0002235382
PRDM4	ENSG00000110851.13	1474.651	0.474682	0.10851133	0.000001891734	0.0002240692
ARHGAP11B-DT	ENSG00000247728.3	205.527	0.9133887	0.2432125	0.00000192272	0.0002263917
NOS3	ENSG00000164867.12	141.4177	-1.819508	0.45887086	0.000001966974	0.0002289207
SKIDA1	ENSG00000180592.17	369.4971	1.7746	0.44581185	0.000001967207	0.0002289207
NIBAN1	ENSG00000135842.18	6855.02	1.110412	0.29041368	0.000001985593	0.000229717
NAP1L5	ENSG00000177432.8	211.7245	-0.7018833	0.18061312	0.000002045763	0.0002353101
PGF	ENSG00000119630.15	300.6793	-2.209456	0.59810264	0.000002116708	0.0002420711
LDB3	ENSG00000122367.22	100.9238	-2.389814	0.68120595	0.000002142372	0.0002436061
CYP19A1	ENSG00000137869.17	237.1207	-1.986858	0.51591548	0.000002174373	0.0002458401
SULT1A1	ENSG00000196502.16	514.2991	-2.160692	0.58011909	0.000002186988	0.0002458694
SLITRK1	ENSG00000178235.8	94.13693	3.052112	1.24749228	0.000002236429	0.0002500151
CLBA1	ENSG00000140104.14	184.6448	-1.055232	0.28096513	0.000002307041	0.0002564682
KLHL32	ENSG00000186231.18	58.06328	-2.569527	0.79442036	0.000002366413	0.000261607
SYNGAP1	ENSG00000197283.18	603.3604	-1.187793	0.31078771	0.000002383695	0.0002620616
STRIP2	ENSG00000128578.11	27.88054	-1.792639	0.45826742	0.000002417273	0.0002642929
KCNH1	ENSG00000143473.15	103.0126	-2.169367	0.59031621	0.00000247317	0.0002660195
ELN-AS1	ENSG00000232415.3	42.24748	-1.087787	0.28965828	0.000002471196	0.0002660195
LINC02773	ENSG00000237980.3	42.6862	-1.553474	0.39376348	0.00000245029	0.0002660195
DHCR7	ENSG00000172893.19	269.9579	-1.651438	0.41993213	0.000002523589	0.0002699833
EXTL1	ENSG00000158008.11	991.4025	-1.918004	0.50100678	0.000002639606	0.0002808852
GAMT	ENSG00000130005.14	210.3913	-1.189207	0.31369786	0.000002687509	0.0002844614
FKBP10	ENSG00000141756.21	1861.744	-1.235653	0.32440258	0.000002765147	0.0002911305
NID2	ENSG00000087303.19	5181.546	1.274187	0.3329583	0.000002787266	0.0002919148
ZNF74	ENSG00000185252.20	170.3615	-0.7741535	0.20796566	0.000002805618	0.0002922984
ENSG00000288258	ENSG00000288258.1	97.6804	2.147224	0.59000045	0.000002887767	0.00029929
FOXN3	ENSG00000053254.17	5787.949	0.6664207	0.1730213	0.000003062804	0.0003124622
FAM107A	ENSG00000168309.19	425.5992	-1.975661	0.52722289	0.000003050766	0.0003124622
ANKRD18A	ENSG00000180071.21	157.3944	2.611166	0.8567322	0.00000305859	0.0003124622
TRMT9B	ENSG00000250305.10	115.7739	-1.816395	0.47463899	0.000003077671	0.0003124622
PPP1R3G	ENSG00000219607.4	82.38284	1.275071	0.33614022	0.000003152515	0.000318436
PABPC1L	ENSG00000101104.14	311.0995	-1.345014	0.35233763	0.000003229586	0.0003244646
SHC2	ENSG00000129946.12	191.1003	-2.071366	0.56600238	0.000003244809	0.0003244646
BAG4	ENSG00000156735.12	1563.668	0.8285918	0.22732597	0.000003310729	0.000329401
AGO4	ENSG00000134698.12	2227.53	0.5929939	0.14883689	0.000003339061	0.0003298317
PLAC9	ENSG00000189129.15	139.3798	-2.116622	0.58592667	0.000003348208	0.0003298317
CBLN4	ENSG00000054803.4	160.0987	-2.528415	0.81193738	0.000003494449	0.000342542
TMEM54	ENSG00000121900.20	115.1178	-1.813315	0.48008402	0.000003605661	0.000351711
C12orf56	ENSG00000185306.14	544.9596	2.270508	0.66115328	0.000003641889	0.000353512
BCAM	ENSG00000187244.13	649.6609	-1.383092	0.36475385	0.000003699653	0.0003573757
SYNGR1	ENSG00000100321.16	783.6429	-1.226539	0.32966244	0.000003755459	0.0003610139
PRXL2A	ENSG00000122378.15	2493.045	-1.388338	0.36696218	0.000003830836	0.0003647359
CST6	ENSG00000175315.3	32.93303	-2.362871	0.71458436	0.000003818119	0.0003647359
SGCB	ENSG00000163069.14	9412.734	0.7704969	0.21122253	0.000003896957	0.0003692645
ABHD17C	ENSG00000136379.13	91.25834	-1.041428	0.28824175	0.000003961277	0.0003727282
CBLL1-AS1	ENSG00000241764.6	35.39051	-1.162159	0.31651177	0.000003970973	0.0003727282
RGMB	ENSG00000174136.14	2128.283	0.9345467	0.26137529	0.000004087843	0.0003818967
LRFN5	ENSG00000165379.15	706.3676	1.693746	0.44892276	0.000004118164	0.0003820101
FBXL9P	ENSG00000293507.2	82.63318	0.8382489	0.23365244	0.000004127453	0.0003820101
RAMP2	ENSG00000131477.12	149.9782	-1.627676	0.43040806	0.000004155515	0.0003828268
TLK2	ENSG00000146872.20	1786.518	0.5125392	0.12481441	0.000004338326	0.0003978265
KYAT3	ENSG00000137944.18	1383.839	0.8108846	0.22594844	0.000004362319	0.0003981917
PTPRN2	ENSG00000155093.20	388.3992	-1.322333	0.35567904	0.00000442993	0.0004025168
SLC25A35	ENSG00000125434.12	141.6042	-1.176594	0.32304133	0.000004552702	0.0004035895
TMOD1	ENSG00000136842.15	166.7667	-1.789793	0.48250587	0.000004559316	0.0004035895
SNX30	ENSG00000148158.18	3086.23	0.9505195	0.26754324	0.000004517629	0.0004035895
SCUBE1	ENSG00000159307.21	165.2567	-2.79534	1.14372201	0.000004563427	0.0004035895
PEX26	ENSG00000215193.15	1367.044	-0.9305056	0.26207769	0.000004518463	0.0004035895
ENSG00000295981	ENSG00000295981.1	109.5029	1.929425	0.53019687	0.000004556698	0.0004035895
QPRT	ENSG00000103485.20	377.3522	-1.663288	0.44515064	0.000004706512	0.0004144022
ENSG00000290199	ENSG00000290199.2	39.9171	-2.215841	0.65621848	0.000004866603	0.0004266103
FBXL3	ENSG00000005812.12	4126.056	0.7274798	0.1998558	0.000004929615	0.0004302386
ZRANB1	ENSG00000019995.6	2469.259	0.5397362	0.13472079	0.000005097355	0.0004429357
OPCML	ENSG00000183715.15	476.9238	2.053321	0.58574201	0.000005170967	0.0004472097
CCL3L3	ENSG00000276085.1	316.3713	-2.539283	0.87928716	0.000005191489	0.0004472097
CCL4L2	ENSG00000276070.5	272.6191	-2.385686	0.76288916	0.000005303304	0.0004548726
PODNL1	ENSG00000132000.15	174.5139	-1.845198	0.50860011	0.000005385202	0.0004599148
SEMA4D	ENSG00000187764.13	1198.347	-1.198844	0.3329209	0.000005503318	0.0004679937
DELEC1	ENSG00000173077.17	17.84878	-2.056487	0.59476599	0.000005828198	0.0004920889
FAM110D	ENSG00000197245.7	40.34367	-1.736783	0.4763379	0.000005836122	0.0004920889
FBLIM1	ENSG00000162458.14	255.7605	-1.664113	0.45510597	0.000006008064	0.0005044493
ARHGEF4	ENSG00000136002.22	403.5925	-2.226647	0.68172562	0.00000615767	0.000513477
EIF2S3B	ENSG00000180574.4	35.27475	1.941676	0.55109668	0.000006167195	0.000513477
IGSF3	ENSG00000143061.19	467.6531	-2.171742	0.65381688	0.000006236267	0.0005170644
SNHG16	ENSG00000163597.18	6894.475	0.9170763	0.26482216	0.000006415636	0.0005297292
IQCA1	ENSG00000132321.18	32.665	-1.766977	0.49070456	0.000006450508	0.0005304076
PLBD1-AS1	ENSG00000256751.7	221.7269	-0.8551841	0.24679007	0.000006631464	0.0005430432
ENSG00000261324	ENSG00000261324.2	275.3667	1.589859	0.43777034	0.000006712203	0.0005474021
ZKSCAN2	ENSG00000155592.17	522.8032	0.6098735	0.16152063	0.000006753114	0.0005484907
AQP3	ENSG00000165272.17	98.79269	-2.227035	0.69159153	0.000006834061	0.0005528089
TRIM6	ENSG00000121236.22	93.90384	-1.634308	0.45252322	0.000007002837	0.0005641678
BDH1	ENSG00000161267.13	175.5214	-1.16909	0.33244905	0.000007084708	0.0005684621
RPL3	ENSG00000100316.17	17666.79	-0.9714718	0.28266315	0.00000725404	0.0005797114
GXYLT1	ENSG00000151233.12	2253.961	1.055033	0.3050155	0.000007313677	0.0005821395
PPP3CB	ENSG00000107758.17	2362.016	0.446271	0.10827615	0.000007360533	0.0005835349
ST8SIA2	ENSG00000140557.13	44.26122	-2.580088	1.00349875	0.000007445677	0.0005879426
